tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical
TMFuzzer,Town03,5,2,2025-09-22_19-50-52,logs/enriched/tool3/2025-09-22_20-01-20/log/5_2_log_basic.json,0.8488899130706339,0.19792084203140395,23.12,3.76,74.61850417349869,96.58877022612361,,1107.7768406948337,818.1685599992322,826.6065081069264,0.17353850887185138,0.33009605360654753,0.17353850887185138,1.7961197727295368,0.2807984874338732,4.163011895716145,7.522125796608296,1.0487076800596824,4.291603025825248,12.91031685593898,0,1,0,0,1,True
TMFuzzer,Town03,3,0,2025-09-22_19-27-19,logs/enriched/tool3/2025-09-22_20-01-20/log/3_0_log_basic.json,4.111314753214597,0.7708611614133245,3.36,1.28,100.0,80.35794757942702,58.28,281.3778128797029,286.5743003412088,281.3778128797029,1.0933959334660703,1.7396204538054045,1.0933959334660703,4.873769976688355,1.3530575213116338,4.730530968959413,7.539882824023197,0.8822306945718227,4.428650669742283,13.63321850499412,0,0,0,1,1,True
TMFuzzer,Town03,5,0,2025-09-22_19-42-17,logs/enriched/tool3/2025-09-22_20-01-20/log/5_0_log_basic.json,2.998464372832704,0.4345752890004423,11.48,6.76,100.0,80.72169550975141,59.68,281.3778128797029,286.5859428748661,281.3778128797029,1.0708140266744974,1.7212569774585804,1.0708140266744974,4.873307594895487,1.3476212014980309,4.623154252566198,7.539882824023196,0.9067890564196041,4.576648200758826,12.583120937245099,0,0,0,1,1,True
TMFuzzer,Town03,2,1,2025-09-22_19-18-23,logs/enriched/tool3/2025-09-22_20-01-20/log/2_1_log_basic.json,0.5559898886522441,0.07515787716614657,17.6,7.28,100.0,80.96503162271365,62.08,281.3778128797029,286.6774122422054,281.3778128797029,1.0557641644504763,1.6918798218980158,1.0557641644504763,4.873307594895487,1.3220511944731377,4.454084751830762,7.53346511639896,0.9977455258010736,4.692679710959104,10.022998834081404,0,0,0,1,1,True
TMFuzzer,Town03,2,2,2025-09-22_19-19-53,logs/enriched/tool3/2025-09-22_20-01-20/log/2_2_log_basic.json,7.393885128266466,1.1841762478293405,2.44,0.92,100.0,96.48021322466595,77.72,304.24268311171784,301.96300715969994,304.24268311171784,0.17916121485794137,0.48753123255039427,0.17916121485794137,3.508571381630991,0.45341808720289617,3.7658151029645373,7.52553129087907,1.1920155017288185,5.137483709041717,18.7680756650624,0,0,0,1,1,True
TMFuzzer,Town03,4,1,2025-09-22_19-36-03,logs/enriched/tool3/2025-09-22_20-01-20/log/4_1_log_basic.json,0.0,0.0,4.72,2.56,33.7087828806323,97.33763073971636,,438.9664332636411,144.13645033898865,147.97024190769645,0.13492260963561567,0.36179334132587165,0.13492260963561567,1.8056929902858805,0.33569377598766104,2.3958136298925083,7.505942950089617,0.5866758646191932,3.0326319136332573,26.604377546451374,1,0,0,0,1,True
TMFuzzer,Town03,1,4,2025-09-22_19-16-19,logs/enriched/tool3/2025-09-22_20-01-20/log/1_4_log_basic.json,0.40029164532001527,0.029002605331824843,6.84,3.28,100.0,81.03221093672904,60.76,281.3778128797029,286.47293489839217,281.3778128797029,1.0516172223911564,1.7050343590006176,1.0516172223911564,4.873307594895487,1.3421040879689459,4.5366607050376295,7.539882824023197,1.0662411389051982,4.987729697519133,14.130767961034794,0,0,0,1,1,True
TMFuzzer,Town03,1,1,2025-09-22_19-07-20,logs/enriched/tool3/2025-09-22_20-01-20/log/1_1_log_basic.json,0.0,0.0,41.16,4.44,91.0763565087424,96.88241521262026,,1107.7768406948337,997.8340717855937,1008.9227847525102,0.1583607855682957,0.33656786130853367,0.1583607855682957,1.9248432342411894,0.2969844892582652,4.150295101480394,7.525125474701402,1.0541540634328443,4.449987885917455,14.226825114177238,1,0,0,0,1,True
TMFuzzer,Town03,5,4,2025-09-22_19-59-37,logs/enriched/tool3/2025-09-22_20-01-20/log/5_4_log_basic.json,0.0,0.0,9.76,4.2,22.880051898319376,97.30313244228057,,1107.7768406948337,252.68664395288963,253.4599160685407,0.13669501831471542,0.21700296237019723,0.13669501831471542,0.8854673256172035,0.16853711058808638,4.364364504933616,7.520617083723914,0.9927862487308863,4.373036707332477,30.726688066615086,1,0,0,0,1,True
TMFuzzer,Town03,4,2,2025-09-22_19-37-15,logs/enriched/tool3/2025-09-22_20-01-20/log/4_2_log_basic.json,0.9802629905133593,0.09919367763666728,17.8,4.92,100.0,80.98687619345878,61.96,281.3778128797029,286.6046921291487,281.3778128797029,1.0544153337283093,1.6879491660149941,1.0544153337283093,4.873307594895487,1.318097375404918,4.463447613882211,7.5593662942074715,0.9550870907488885,4.217055383141473,14.431029838735409,0,0,0,1,1,True
TMFuzzer,Town03,3,2,2025-09-22_19-30-06,logs/enriched/tool3/2025-09-22_20-01-20/log/3_2_log_basic.json,1.779027325455338,0.1276069700829689,9.72,3.12,100.0,96.63870365182457,75.12,304.24268311171784,301.82458307014065,304.24268311171784,0.17095433045196415,0.48095492187346506,0.17095433045196415,3.307011829431523,0.44954672034620774,3.889299055231527,7.52553129087907,0.9074576332627006,4.2026382250952565,17.87541577402295,0,0,0,1,1,True
TMFuzzer,Town03,2,3,2025-09-22_19-21-44,logs/enriched/tool3/2025-09-22_20-01-20/log/2_3_log_basic.json,0.22868459818398024,0.12211557963315127,7.24,3.28,100.0,96.65563878582188,75.08,304.24268311171784,301.85357473687736,304.24268311171784,0.1700781985472705,0.47676308698988507,0.1700781985472705,3.287005581072233,0.4453947097744201,3.8927545482138477,7.52553129087907,0.9348211907524256,4.175330909721404,17.467792896952904,0,0,0,1,1,True
TMFuzzer,Town03,3,3,2025-09-22_19-31-55,logs/enriched/tool3/2025-09-22_20-01-20/log/3_3_log_basic.json,0.0,0.0,8.52,3.56,47.04333996282769,97.54859666504248,,304.24268311171784,140.804061701435,143.12591972827397,0.12409752412082482,0.3879094791443099,0.12409752412082482,2.2353067644211593,0.36752356185296625,5.000316981579928,7.53793239688444,1.5038391480982158,5.336552699619633,106.49409514009831,1,0,0,1,2,True
