tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical,cluster
ScenarioFuzzLLM,Town03,4,3,2025-09-23_10-51-36,logs/enriched/tool1/2025-09-23_11-09-43/log/4_3_log_basic.json,6.762678749126361,1.1326923138768836,2.4,1.92,100.0,95.55695879223362,97.24,212.63975890868295,207.9842101938872,212.63975890868295,0.2272384457478923,0.4771718358122309,0.2272384457478923,3.4724594007705774,0.4195898588699407,2.0735994236050868,7.530028679892262,0.5760642411437055,2.975735801995249,15.265333521518432,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,1,1,2025-09-23_10-07-45,logs/enriched/tool1/2025-09-23_11-09-43/log/1_1_log_basic.json,1.352700512685044,0.2073603136676292,6.32,1.2,100.0,95.50869413058273,97.24,212.63975890868295,208.07628821731493,212.63975890868295,0.2297645231427137,0.4742315412019427,0.2297645231427137,3.4119336511720144,0.414853972592491,2.077123228822454,7.50598110442599,0.8049143429096975,4.08866858137492,15.39071991451355,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,5,4,2025-09-23_11-05-03,logs/enriched/tool1/2025-09-23_11-09-43/log/5_4_log_basic.json,1.6019021344904951,0.2000896028768146,18.68,3.76,100.0,93.66238890369488,153.84,569.6743161658064,566.9861524837532,569.6743161658064,0.3273673821633955,1.199375134064341,0.3273673821633955,13.904024756163231,1.1538333108847834,3.615262367759492,14.692436359569502,0.9346222950085756,4.018764164361532,11.330075541056294,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,4,2,2025-09-23_10-48-52,logs/enriched/tool1/2025-09-23_11-09-43/log/4_2_log_basic.json,0.0,0.0,29.76,5.32,68.97793696136047,94.75723534525696,,806.8409532414147,548.0078511919858,556.542244105303,0.2692599122904934,0.6610844195353489,0.2692599122904934,4.35459371155072,0.6037646142212252,5.104213984241183,11.421110934142966,0.974602139465036,3.9620579215828746,77.46172847525827,1,0,0,1,2,True,3.0
ScenarioFuzzLLM,Town03,3,2,2025-09-23_10-33-56,logs/enriched/tool1/2025-09-23_11-09-43/log/3_2_log_basic.json,5.661400763945239,0.9812178301121048,3.92,2.92,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.140785625517901,0.361928940529773,0.140785625517901,2.734500511976562,0.3334246026323452,1.7031274836822703,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600613,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,2,3,2025-09-23_10-24-38,logs/enriched/tool1/2025-09-23_11-09-43/log/2_3_log_basic.json,0.0,0.0,4.88,3.2,34.17314432372677,90.57092169646562,,806.8409532414147,269.6476244382675,275.72292341412145,0.4951848851655075,1.0030381610596768,0.4951848851655075,4.354652413761142,0.8722829139938495,6.566610452583463,7.514128248173569,0.7795106841395353,2.983249746471295,219.07418942028443,1,0,0,0,1,True,2.0
ScenarioFuzzLLM,Town03,3,3,2025-09-23_10-36-33,logs/enriched/tool1/2025-09-23_11-09-43/log/3_3_log_basic.json,0.0,0.0,10.8,3.2,100.0,93.37618823796248,153.96,569.6743161658064,567.2231104772952,569.6743161658064,0.3426690858802555,1.1972748892843827,0.3426690858802555,13.87686975654092,1.1471900706042226,3.6122740960472393,14.708388419198071,0.8556610568078533,3.7815320487730495,13.717600390887096,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,4,2025-09-23_10-26-13,logs/enriched/tool1/2025-09-23_11-09-43/log/2_4_log_basic.json,1.4543003370386398,0.3099399353854247,16.64,3.12,100.0,95.37432420777414,154.0,569.6743161658064,556.6105559096942,569.6743161658064,0.2368039102067398,0.4864466259642951,0.2368039102067398,3.2368315881429504,0.4249167306930207,3.5362161450200453,12.690721488158188,1.033112747084798,4.42510913319371,17.745158345406843,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,2,2025-09-23_10-10-36,logs/enriched/tool1/2025-09-23_11-09-43/log/1_2_log_basic.json,0.0,0.0,4.6,2.64,9.293630437574231,82.96979855644938,,806.8409532414147,74.95158211953138,74.98481641325819,0.9334675861156626,1.5827111303915216,0.9334675861156626,4.35459371155072,1.2781286273050168,5.083418886251592,7.51412824817357,1.5847932393118809,5.20685499931996,30.225760934029022,1,0,0,0,1,True,2.0
ScenarioFuzzLLM,Town03,5,1,2025-09-23_10-58-05,logs/enriched/tool1/2025-09-23_11-09-43/log/5_1_log_basic.json,1.4334380795580952,0.2409697683186077,3.12,1.32,100.0,95.135638689191,97.24,212.63975890868295,207.8414156820517,212.63975890868295,0.2493326850719457,0.48655691417525,0.2493326850719457,3.435678826665845,0.417816757546362,2.073123545678402,7.520483684577742,0.6106440301556001,2.944728223148648,15.391340361423811,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,3,1,2025-09-23_10-33-03,logs/enriched/tool1/2025-09-23_11-09-43/log/3_1_log_basic.json,12.261987022093932,1.6607272111513165,0.0,0.0,100.0,96.1334356391491,9.72,58.929978982560485,62.3545284128427,58.929978982560485,0.1971650251922919,0.7395182530895993,0.1971650251922919,3.4245457421386507,0.7127504468561318,5.149183388006721,7.523112815849568,1.4231245425419934,6.648571663021318,11.26265979273644,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,0,2025-09-23_10-04-52,logs/enriched/tool1/2025-09-23_11-09-43/log/1_0_log_basic.json,4.438843176339819,0.8081596928707425,6.48,2.12,100.0,95.6364423354626,97.56,212.63975890868295,208.12852603500312,212.63975890868295,0.2230812129491085,0.4845558672158594,0.2230812129491085,3.606175176000185,0.4301501608537047,2.0713386195594867,7.515203167579703,0.7149181669474193,3.378293804204715,16.76181941881485,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,1,3,2025-09-23_10-11-40,logs/enriched/tool1/2025-09-23_11-09-43/log/1_3_log_basic.json,1.985865634466596,0.1928984653780734,14.64,3.44,100.0,94.16003887917074,155.32,569.6743161658064,562.1515563091316,569.6743161658064,0.3008715506538679,0.7869298231942949,0.3008715506538679,8.539408263457135,0.7271415657488858,3.552923856358193,10.933931378968865,1.0099514103905822,4.251857794556633,14.932208594918416,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,4,4,2025-09-23_10-54-14,logs/enriched/tool1/2025-09-23_11-09-43/log/4_4_log_basic.json,1.9597915642743853,0.4011890834610769,8.28,3.08,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.140785625517901,0.361928940529773,0.140785625517901,2.734500511976562,0.3334246026323452,1.7031274836822703,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600613,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,4,0,2025-09-23_10-43-26,logs/enriched/tool1/2025-09-23_11-09-43/log/4_0_log_basic.json,0.0,0.0,19.36,3.8,66.49719266184945,94.78251545340426,,806.8409532414147,528.155801066343,536.5265831516463,0.2679261494153869,0.6576637362509031,0.2679261494153869,4.35459371155072,0.6006139928764075,4.902562448256309,9.50121128488363,0.9283984420976492,4.020891287775626,13.894876345283658,1,0,0,1,2,True,3.0
ScenarioFuzzLLM,Town03,5,3,2025-09-23_11-02-06,logs/enriched/tool1/2025-09-23_11-09-43/log/5_3_log_basic.json,2.9983701203157,0.8327884826398392,7.08,1.28,100.0,95.522352006124,97.32,212.63975890868295,208.0442269266552,212.63975890868295,0.2290495673362731,0.4847707190782112,0.2290495673362731,3.5554533958413828,0.4272457674204297,2.0761125784019794,7.503763899537352,0.7241604366906585,3.5339407709974857,17.20977045306259,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,2,0,2025-09-23_09-05-15,logs/enriched/tool1/2025-09-23_10-04-32/log/2_0_log_basic.json,0.0,0.0,1.52,0.64,19.50828696943145,96.75857300997562,,1255.9843258425244,244.38732657797323,245.02102657643863,0.164756240407994,0.2478873442320804,0.164756240407994,0.5395891111883,0.18521208566683,4.146646700144077,7.5244232503229105,1.1367461606497913,4.54120379210794,11.694896505850672,1,0,0,0,1,True,1.0
ScenarioFuzzLLM,Town03,5,2,2025-09-23_09-57-15,logs/enriched/tool1/2025-09-23_10-04-32/log/5_2_log_basic.json,1.5525794396583648,0.2357677215229385,22.08,4.0,99.93281256843215,97.00612025030448,139.76,405.4342009404504,394.5186896160613,405.1618001141409,0.151980570555867,0.3948666807375188,0.151980570555867,3.0016891376429498,0.3644469806846789,2.719873445747028,7.537539614489598,0.7660819873806585,3.772293918402458,13.759260735109866,0,0,0,1,1,True,0.0
